"","date","time","global_active_power","global_reactive_power","voltage","global_intensity","sub_metering_1","sub_metering_2","sub_metering_3"
"1","1/2/2007","00:00:00",0.326,0.128,243.15,1.4,0,0,0
"2","1/2/2007","00:01:00",0.326,0.13,243.32,1.4,0,0,0
"3","1/2/2007","00:02:00",0.324,0.132,243.51,1.4,0,0,0
"4","1/2/2007","00:03:00",0.324,0.134,243.9,1.4,0,0,0
"5","1/2/2007","00:04:00",0.322,0.13,243.16,1.4,0,0,0
"6","1/2/2007","00:05:00",0.32,0.126,242.29,1.4,0,0,0
"7","1/2/2007","00:06:00",0.32,0.126,242.46,1.4,0,0,0
"8","1/2/2007","00:07:00",0.32,0.126,242.63,1.4,0,0,0
"9","1/2/2007","00:08:00",0.32,0.128,242.7,1.4,0,0,0
"10","1/2/2007","00:09:00",0.236,0,242.89,1,0,0,0
"11","1/2/2007","00:10:00",0.226,0,243,1,0,0,0
"12","1/2/2007","00:11:00",0.224,0,242.5,1,0,0,0
"13","1/2/2007","00:12:00",0.224,0,242.18,1,0,0,0
"14","1/2/2007","00:13:00",0.224,0,242.15,1,0,0,0
"15","1/2/2007","00:14:00",0.224,0,242.73,1,0,0,0
"16","1/2/2007","00:15:00",0.26,0,242.85,1.2,0,0,0
"17","1/2/2007","00:16:00",0.304,0.096,242.89,1.2,0,0,0
"18","1/2/2007","00:17:00",0.302,0.096,242.87,1.2,0,0,0
"19","1/2/2007","00:18:00",0.302,0.094,242.19,1.2,0,0,0
"20","1/2/2007","00:19:00",0.3,0.094,242.23,1.2,0,0,0
"21","1/2/2007","00:20:00",0.3,0.094,242.16,1.2,0,0,0
"22","1/2/2007","00:21:00",0.298,0.094,242.29,1.2,0,0,0
"23","1/2/2007","00:22:00",0.298,0.094,242.47,1.2,0,0,0
"24","1/2/2007","00:23:00",0.296,0.094,242.32,1.2,0,0,0
"25","1/2/2007","00:24:00",0.296,0.096,242.98,1.2,0,0,0
"26","1/2/2007","00:25:00",0.298,0.1,243.65,1.2,0,0,0
"27","1/2/2007","00:26:00",0.228,0,243.55,1,0,0,0
"28","1/2/2007","00:27:00",0.226,0,243.11,1,0,0,0
"29","1/2/2007","00:28:00",0.226,0,243.09,1,0,0,0
"30","1/2/2007","00:29:00",0.226,0,243.05,1,0,0,0
"31","1/2/2007","00:30:00",0.226,0,243.22,1,0,0,0
"32","1/2/2007","00:31:00",0.226,0,243.37,1,0,0,0
"33","1/2/2007","00:32:00",0.226,0,243.14,1,0,0,0
"34","1/2/2007","00:33:00",0.226,0,243.12,1,0,0,0
"35","1/2/2007","00:34:00",0.322,0.094,242.74,1.4,0,0,0
"36","1/2/2007","00:35:00",0.336,0.126,242.59,1.4,0,0,0
"37","1/2/2007","00:36:00",0.332,0.126,242.91,1.4,0,0,0
"38","1/2/2007","00:37:00",0.332,0.13,243.51,1.4,0,0,0
